Snow White and the Seven Dwarfs
Pinocchio
Fantasia
Dumbo
Bambi
Cinderella
Alice in Wonderland
Peter Pan
Lady and the Tramp
Sleeping Beauty
101 Dalmatians
The Sword in the Stone
The Jungle Book
The Aristocats
Robin Hood
The Fox and the Hound
The Black Cauldron
The Great Mouse Detective
Oliver & Company
The Little Mermaid
The Rescuers Down Under
Beauty and the Beast
Aladdin
The Lion King
Pocahontas
The Hunchback of Notre Dame
Hercules
Mulan
Tarzan
The Emperor's New Groove
Atlantis: The Lost Empire
Lilo & Stitch
Treasure Planet
Brother Bear
Home on the Range
Chicken Little
Meet the Robinsons
Bolt
The Princess and the Frog
Tangled
Winnie the Pooh
Wreck-It Ralph
Frozen
Big Hero 6
Zootopia
Moana
Ralph Breaks the Internet
Frozen II
Raya and the Last Dragon
Encanto
Strange World
Wish
Moana 2
Mary Poppins
Bedknobs and Broomsticks
Pete's Dragon
The Many Adventures of Winnie the Pooh
Dinosaur
Maleficent
Cinderella (2015)
The Jungle Book (2016)
Beauty and the Beast (2017)
Aladdin (2019)
The Lion King (2019)
